VARIABLE,LABEL,IGNORE,VALUE_RANGE
V243_AU,Mother's Country of origin (AU),,"1101##Australia
1102##Norfolk Island
1199##Australian External Territories, nec
1201##New Zealand
1301##New Caledonia
1302##Papua New Guinea
1303##Solomon Islands
1304##Vanuatu
1401##Guam
1402##Kiribati
1403##Marshall Islands
1404##Micronesia, Federated States of
1405##Nauru
1406##Northern Mariana Islands
1407##Palau
1501##Cook Islands
1502##Fiji
1503##French Polynesia
1504##Niue
1505##Samoa
1506##Samoa, American
1507##Tokelau
1508##Tonga
1511##Tuvalu
1512##Wallis and Futuna
1599##Polynesia (excludes Hawaii), nec
1601##Adélie Land (France)
1602##Argentinian Antarctic Territory
1603##Australian Antarctic Territory
1604##British Antarctic Territory
1605##Chilean Antarctic Territory
1606##Queen Maud Land (Norway)
1607##Ross Dependency (New Zealand)
2100##United Kingdom
2101##Channel Islands
2102##England
2103##Isle of Man
2104##Northern Ireland
2105##Scotland
2106##Wales
2201##Ireland
2301##Austria
2302##Belgium
2303##France
2304##Germany
2305##Liechtenstein
2306##Luxembourg
2307##Monaco
2308##Netherlands
2311##Switzerland
2401##Denmark
2402##Faeroe Islands
2403##Finland
2404##Greenland
2405##Iceland
2406##Norway
2407##Sweden
3101##Andorra
3102##Gibraltar
3103##Holy See
3104##Italy
3105##Malta
3106##Portugal
3107##San Marino
3108##Spain
3201##Albania
3202##Bosnia and Herzegovina
3203##Bulgaria
3204##Croatia
3205##Cyprus
3206##Former Yugoslav Republic of Macedonia (FYROM)
3207##Greece
3208##Moldova
3211##Romania
3212##Slovenia
3214##Montenegro
3215##Serbia
3216##Kosovo
3301##Belarus
3302##Czech Republic
3303##Estonia
3304##Hungary
3305##Latvia
3306##Lithuania
3307##Poland
3308##Russian Federation
3311##Slovakia
3312##Ukraine
4101##Algeria
4102##Egypt
4103##Libya
4104##Morocco
4105##Sudan
4106##Tunisia
4107##Western Sahara
4199##North Africa, nec
4201##Bahrain
4202##Gaza Strip and West Bank
4203##Iran
4204##Iraq
4205##Israel
4206##Jordan
4207##Kuwait
4208##Lebanon
4211##Oman
4212##Qatar
4213##Saudi Arabia
4214##Syria
4215##Turkey
4216##United Arab Emirates
4217##Yemen
5101##Burma (Myanmar)
5102##Cambodia
5103##Laos
5104##Thailand
5105##Viet Nam
5201##Brunei Darussalam
5202##Indonesia
5203##Malaysia
5204##Philippines
5205##Singapore
5206##East Timor
6101##China (excludes SARs and Taiwan Province)
6102##Hong Kong (SAR of China)
6103##Macau
6104##Mongolia
6105##Taiwan (Province of China)
6201##Japan
6202##Korea, Democratic People's Republic of (North)
6203##Korea, Republic of (South)
7101##Bangladesh
7102##Bhutan
7103##India
7104##Maldives
7105##Nepal
7106##Pakistan
7107##Sri Lanka
7200##Central Asia
7201##Afghanistan
7202##Armenia
7203##Azerbaijan
7204##Georgia
7205##Kazakhstan
7206##Kyrgyz Republic
7207##Tajikistan
7208##Turkmenistan
7211##Uzbekistan
8101##Bermuda
8102##Canada
8103##St Pierre and Miquelon
8104##United States of America
8201##Argentina
8202##Bolivia
8203##Brazil
8204##Chile
8205##Colombia
8206##Ecuador
8207##Falkland Islands
8208##French Guiana
8211##Guyana
8212##Paraguay
8213##Peru
8214##Suriname
8215##Uruguay
8216##Venezuela
8299##South America, nec
8301##Belize
8302##Costa Rica
8303##El Salvador
8304##Guatemala
8305##Honduras
8306##Mexico
8307##Nicaragua
8308##Panama
8401##Anguilla
8402##Antigua and Barbuda
8403##Aruba
8404##Bahamas
8405##Barbados
8406##Cayman Islands
8407##Cuba
8408##Dominica
8411##Dominican Republic
8412##Grenada
8413##Guadeloupe
8414##Haiti
8415##Jamaica
8416##Martinique
8417##Montserrat
8418##Netherlands Antilles
8421##Puerto Rico
8422##St Kitts and Nevis
8423##St Lucia
8424##St Vincent and the Grenadines
8425##Trinidad and Tobago
8426##Turks and Caicos Islands
8427##Virgin Islands, British
8428##Virgin Islands, United States
9101##Benin
9102##Burkina Faso
9103##Cameroon
9104##Cape Verde
9105##Central African Republic
9106##Chad
9107##Congo
9108##Congo, Democratic Republic of
9111##Côte d'Ivoire
9112##Equatorial Guinea
9113##Gabon
9114##Gambia
9115##Ghana
9116##Guinea
9117##Guinea-Bissau
9118##Liberia
9121##Mali
9122##Mauritania
9123##Niger
9124##Nigeria
9125##São Tomé and Principe
9126##Senegal
9127##Sierra Leone
9128##Togo
9201##Angola
9202##Botswana
9203##Burundi
9204##Comoros
9205##Djibouti
9206##Eritrea
9207##Ethiopia
9208##Kenya
9211##Lesotho
9212##Madagascar
9213##Malawi
9214##Mauritius
9215##Mayotte
9216##Mozambique
9217##Namibia
9218##R?union
9221##Rwanda
9222##St Helena
9223##Seychelles
9224##Somalia
9225##South Africa
9226##Swaziland
9227##Tanzania
9228##Uganda
9231##Zambia
9232##Zimbabwe
9299##Southern and East Africa, nec
-5##Missing; Unknown
-4##Not asked
-3##Not applicable
-2##No answer
-1##Don´t know
"
V244,Father immigrant,,"1##Immigrant
2##Not an immigrant
-5##AM,DE,SE:Inapplicable ; RU:Inappropriate response; BH: Missing{Inappropriate}
-4##Not asked
-3##Not applicable
-2##No answer
-1##Don´t know
"
V244_AU,Father's Country of origin (AU),,"1101##Australia
1102##Norfolk Island
1199##Australian External Territories, nec
1201##New Zealand
1301##New Caledonia
1302##Papua New Guinea
1303##Solomon Islands
1304##Vanuatu
1401##Guam
1402##Kiribati
1403##Marshall Islands
1404##Micronesia, Federated States of
1405##Nauru
1406##Northern Mariana Islands
1407##Palau
1501##Cook Islands
1502##Fiji
1503##French Polynesia
1504##Niue
1505##Samoa
1506##Samoa, American
1507##Tokelau
1508##Tonga
1511##Tuvalu
1512##Wallis and Futuna
1599##Polynesia (excludes Hawaii), nec
1601##Adélie Land (France)
1602##Argentinian Antarctic Territory
1603##Australian Antarctic Territory
1604##British Antarctic Territory
1605##Chilean Antarctic Territory
1606##Queen Maud Land (Norway)
1607##Ross Dependency (New Zealand)
2100##United Kingdom
2101##Channel Islands
2102##England
2103##Isle of Man
2104##Northern Ireland
2105##Scotland
2106##Wales
2201##Ireland
2301##Austria
2302##Belgium
2303##France
2304##Germany
2305##Liechtenstein
2306##Luxembourg
2307##Monaco
2308##Netherlands
2311##Switzerland
2401##Denmark
2402##Faeroe Islands
2403##Finland
2404##Greenland
2405##Iceland
2406##Norway
2407##Sweden
3101##Andorra
3102##Gibraltar
3103##Holy See
3104##Italy
3105##Malta
3106##Portugal
3107##San Marino
3108##Spain
3201##Albania
3202##Bosnia and Herzegovina
3203##Bulgaria
3204##Croatia
3205##Cyprus
3206##Former Yugoslav Republic of Macedonia (FYROM)
3207##Greece
3208##Moldova
3211##Romania
3212##Slovenia
3214##Montenegro
3215##Serbia
3216##Kosovo
3301##Belarus
3302##Czech Republic
3303##Estonia
3304##Hungary
3305##Latvia
3306##Lithuania
3307##Poland
3308##Russian Federation
3311##Slovakia
3312##Ukraine
4101##Algeria
4102##Egypt
4103##Libya
4104##Morocco
4105##Sudan
4106##Tunisia
4107##Western Sahara
4199##North Africa, nec
4201##Bahrain
4202##Gaza Strip and West Bank
4203##Iran
4204##Iraq
4205##Israel
4206##Jordan
4207##Kuwait
4208##Lebanon
4211##Oman
4212##Qatar
4213##Saudi Arabia
4214##Syria
4215##Turkey
4216##United Arab Emirates
4217##Yemen
5101##Burma (Myanmar)
5102##Cambodia
5103##Laos
5104##Thailand
5105##Viet Nam
5201##Brunei Darussalam
5202##Indonesia
5203##Malaysia
5204##Philippines
5205##Singapore
5206##East Timor
6101##China (excludes SARs and Taiwan Province)
6102##Hong Kong (SAR of China)
6103##Macau
6104##Mongolia
6105##Taiwan (Province of China)
6201##Japan
6202##Korea, Democratic People's Republic of (North)
6203##Korea, Republic of (South)
7101##Bangladesh
7102##Bhutan
7103##India
7104##Maldives
7105##Nepal
7106##Pakistan
7107##Sri Lanka
7200##Central Asia
7201##Afghanistan
7202##Armenia
7203##Azerbaijan
7204##Georgia
7205##Kazakhstan
7206##Kyrgyz Republic
7207##Tajikistan
7208##Turkmenistan
7211##Uzbekistan
8101##Bermuda
8102##Canada
8103##St Pierre and Miquelon
8104##United States of America
8201##Argentina
8202##Bolivia
8203##Brazil
8204##Chile
8205##Colombia
8206##Ecuador
8207##Falkland Islands
8208##French Guiana
8211##Guyana
8212##Paraguay
8213##Peru
8214##Suriname
8215##Uruguay
8216##Venezuela
8299##South America, nec
8301##Belize
8302##Costa Rica
8303##El Salvador
8304##Guatemala
8305##Honduras
8306##Mexico
8307##Nicaragua
8308##Panama
8401##Anguilla
8402##Antigua and Barbuda
8403##Aruba
8404##Bahamas
8405##Barbados
8406##Cayman Islands
8407##Cuba
8408##Dominica
8411##Dominican Republic
8412##Grenada
8413##Guadeloupe
8414##Haiti
8415##Jamaica
8416##Martinique
8417##Montserrat
8418##Netherlands Antilles
8421##Puerto Rico
8422##St Kitts and Nevis
8423##St Lucia
8424##St Vincent and the Grenadines
8425##Trinidad and Tobago
8426##Turks and Caicos Islands
8427##Virgin Islands, British
8428##Virgin Islands, United States
9101##Benin
9102##Burkina Faso
9103##Cameroon
9104##Cape Verde
9105##Central African Republic
9106##Chad
9107##Congo
9108##Congo, Democratic Republic of
9111##Côte d'Ivoire
9112##Equatorial Guinea
9113##Gabon
9114##Gambia
9115##Ghana
9116##Guinea
9117##Guinea-Bissau
9118##Liberia
9121##Mali
9122##Mauritania
9123##Niger
9124##Nigeria
9125##São Tomé and Principe
9126##Senegal
9127##Sierra Leone
9128##Togo
9201##Angola
9202##Botswana
9203##Burundi
9204##Comoros
9205##Djibouti
9206##Eritrea
9207##Ethiopia
9208##Kenya
9211##Lesotho
9212##Madagascar
9213##Malawi
9214##Mauritius
9215##Mayotte
9216##Mozambique
9217##Namibia
9218##R?union
9221##Rwanda
9222##St Helena
9223##Seychelles
9224##Somalia
9225##South Africa
9226##Swaziland
9227##Tanzania
9228##Uganda
9231##Zambia
9232##Zimbabwe
9299##Southern and East Africa, nec
-5##Missing; Unknown
-4##Not asked
-3##Not applicable
-2##No answer
-1##Don´t know
"
V245,Respondent immigrant,,"1##I am born in this country
2##I am an immigrant to this country
-5##SE:Inapplicable ; RU:Inappropriate response; BH: Missing{Inappropriate}
-4##Not asked
-3##Not applicable
-2##No answer
-1##Don´t know
"
V246,Respondent citizen,,"1##Yes, I am a citizen of this country
2##Not, I am not a citizen of this country
-5##Missing; Unknown
-4##Not asked
-3##Not applicable
-2##No answer
-1##Don´t know
"
V247,Language at home,,CS Codes
V248,Highest educational level attained,,"1##No formal education
2##Incomplete primary school
3##Complete primary school
4##Incomplete secondary school: technical/ vocational type
5##Complete secondary school: technical/ vocational type
6##Incomplete secondary school: university-preparatory type
7##Complete secondary school: university-preparatory type
8##Some university-level education, without degree
9##University - level education, with degree
-5##AU: Inapplicable (No-school education) DE,SE:Inapplicable ; SG: Refused; ZA:Other; Missing{Inappropriate}
-4##Not asked
-3##Not applicable
-2##No answer
-1##Don´t know
"
V248_CS,Education (country specific),,CS Codes
V249,What age did you complete your education,,"1#10#1-10
11#19#11-19
20#99#20 and more
-5##Missing;DE: Inappropriate response;SG: Refused{Inappropriate}
-4##Not asked in survey
-3##NAP (No formal education)
-2##No answer
-1##Don´t know
"
V250,Do you live with your parents,,"1##Yes
2##No
-5##AM,DE,SE:Inapplicable ; BH: Missing{Missing}
-4##Not asked
-3##Not applicable
-2##No answer
-1##Don´t know
"
V251,Respondent interested during the interview,,"1##Respondent was very interested
2##Respondent was somewhat interested
3##Respondent was not interested
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V252,Interview privacy,,"1##There were no other people around who could follow the interview
2##There were other people around who could follow the interview
-5##SE:Inapplicable; Missing{Missing}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V253,Size of town,,"1##Under 2,000
2##2,000-5,000
3##5,000-10,000
4##10,000-20,000
5##20,000-50,000
6##50,000-100,000
7##100,000-500,000
8##500,000 and more
-5##Missing; RU: Inappropriate response{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V253_CS,Size of town (country specific),,CS Codes
V254,Ethnic group,,CS Codes
V255,Was the respondent literate,,"1##Literate
2##Illiterate
-5##KW,TH: Missing; DE:Inapplicable{Missing}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V256,Region where the interview was conducted,Y,CS Codes
V256B,Region (2) where the interview was conducted,Y,CS Codes
V256C,Region (level 3) where survey was conducted,Y,CS Codes
V257,Language in which interview was conducted,Y,CS Codes
V258,Weight,Y,"1##No weighting
0##Undefined
0.1#10#reasonable
0.05#50#bad
"
V260,Questionnaire version,Y,"1##First version
2##Revision June 2011
3##Revision October 2011 (IDEA)
4##Revision May 2012 (Big five)
5##Revision May 2012 + Sylatech MENA module
"
V261,Date of interview,Y,"20101115##2010-11-15
20101116##2010-11-16
20101117##2010-11-17
20101125##2010-11-25
20101126##2010-11-26
20101127##2010-11-27
20101128##2010-11-28
20101129##2010-11-29
20101130##2010-11-30
20101202##2010-12-02
20101203##2010-12-03
20101204##2010-12-04
20101205##2010-12-05
20101206##2010-12-06
20101207##2010-12-07
20101208##2010-12-08
20101209##2010-12-09
20101210##2010-12-10
20101211##2010-12-11
20101212##2010-12-12
20101213##2010-12-13
20101214##2010-12-14
20101215##2010-12-15
20101216##2010-12-16
20101217##2010-12-17
20101218##2010-12-18
20101219##2010-12-19
20101220##2010-12-20
20101221##2010-12-21
20101222##2010-12-22
20101223##2010-12-23
20101224##2010-12-24
20101225##2010-12-25
20101226##2010-12-26
20101227##2010-12-27
20101228##2010-12-28
20101229##2010-12-29
20110101##2011-01-01
20110102##2011-01-02
20110103##2011-01-03
20110104##2011-01-04
20110105##2011-01-05
20110107##2011-01-07
20110109##2011-01-09
20110228##2011-02-28
20110301##2011-03-01
20110302##2011-03-02
20110303##2011-03-03
20110304##2011-03-04
20110305##2011-03-05
20110306##2011-03-06
20110307##2011-03-07
20110308##2011-03-08
20110309##2011-03-09
20110310##2011-03-10
20110311##2011-03-11
20110312##2011-03-12
20110313##2011-03-13
20110314##2011-03-14
20110315##2011-03-15
20110316##2011-03-16
20110317##2011-03-17
20110318##2011-03-18
20110319##2011-03-19
20110320##2011-03-20
20110321##2011-03-21
20110322##2011-03-22
20110323##2011-03-23
20110324##2011-03-24
20110325##2011-03-25
20110326##2011-03-26
20110327##2011-03-27
20110328##2011-03-28
20110329##2011-03-29
20110330##2011-03-30
20110331##2011-03-31
20110401##2011-04-01
20110402##2011-04-02
20110403##2011-04-03
20110404##2011-04-04
20110405##2011-04-05
20110406##2011-04-06
20110407##2011-04-07
20110408##2011-04-08
20110409##2011-04-09
20110410##2011-04-10
20110411##2011-04-11
20110412##2011-04-12
20110413##2011-04-13
20110414##2011-04-14
20110415##2011-04-15
20110416##2011-04-16
20110417##2011-04-17
20110418##2011-04-18
20110419##2011-04-19
20110420##2011-04-20
20110421##2011-04-21
20110422##2011-04-22
20110423##2011-04-23
20110424##2011-04-24
20110425##2011-04-25
20110426##2011-04-26
20110427##2011-04-27
20110428##2011-04-28
20110429##2011-04-29
20110430##2011-04-30
20110431##2011-04-31
20110501##2011-05-01
20110502##2011-05-02
20110503##2011-05-03
20110504##2011-05-04
20110505##2011-05-05
20110506##2011-05-06
20110507##2011-05-07
20110508##2011-05-08
20110509##2011-05-09
20110510##2011-05-10
20110511##2011-05-11
20110512##2011-05-12
20110513##2011-05-13
20110514##2011-05-14
20110515##2011-05-15
20110516##2011-05-16
20110517##2011-05-17
20110518##2011-05-18
20110519##2011-05-19
20110520##2011-05-20
20110521##2011-05-21
20110522##2011-05-22
20110523##2011-05-23
20110524##2011-05-24
20110525##2011-05-25
20110526##2011-05-26
20110527##2011-05-27
20110528##2011-05-28
20110529##2011-05-29
20110530##2011-05-30
20110531##2011-05-31
20110601##2011-06-01
20110602##2011-06-02
20110603##2011-06-03
20110604##2011-06-04
20110605##2011-06-05
20110606##2011-06-06
20110607##2011-06-07
20110608##2011-06-08
20110609##2011-06-09
20110610##2011-06-10
20110611##2011-06-11
20110612##2011-06-12
20110613##2011-06-13
20110614##2011-06-14
20110615##2011-06-15
20110616##2011-06-16
20110617##2011-06-17
20110618##2011-06-18
20110619##2011-06-19
20110620##2011-06-20
20110621##2011-06-21
20110622##2011-06-22
20110623##2011-06-23
20110624##2011-06-24
20110625##2011-06-25
20110626##2011-06-26
20110627##2011-06-27
20110628##2011-06-28
20110629##2011-06-29
20110630##2011-06-30
20110701##2011-07-01
20110702##2011-07-02
20110703##2011-07-03
20110704##2011-07-04
20110705##2011-07-05
20110706##2011-07-06
20110707##2011-07-07
20110708##2011-07-08
20110709##2011-07-09
20110710##2011-07-10
20110711##2011-07-11
20110712##2011-07-12
20110713##2011-07-13
20110714##2011-07-14
20110715##2011-07-15
20110806##2011-08-06
20110807##2011-08-07
20110808##2011-08-08
20110809##2011-08-09
20110810##2011-08-10
20110811##2011-08-11
20110812##2011-08-12
20110813##2011-08-13
20110814##2011-08-14
20110815##2011-08-15
20110816##2011-08-16
20110817##2011-08-17
20110818##2011-08-18
20110819##2011-08-19
20110820##2011-08-20
20110821##2011-08-21
20110822##2011-08-22
20110823##2011-08-23
20110824##2011-08-24
20110825##2011-08-25
20110826##2011-08-26
20110829##2011-08-29
20110830##2011-08-30
20110831##2011-08-31
20110901##2011-09-01
20110902##2011-09-02
20110905##2011-09-05
20110906##2011-09-06
20110907##2011-09-07
20110908##2011-09-08
20110909##2011-09-09
20110912##2011-09-12
20110913##2011-09-13
20110914##2011-09-14
20110915##2011-09-15
20110916##2011-09-16
20110919##2011-09-19
20110920##2011-09-20
20110921##2011-09-21
20110922##2011-09-22
20110923##2011-09-23
20110926##2011-09-26
20110927##2011-09-27
20110928##2011-09-28
20110929##2011-09-29
20110930##2011-09-30
20111001##2011-10-01
20111002##2011-10-02
20111003##2011-10-03
20111004##2011-10-04
20111005##2011-10-05
20111006##2011-10-06
20111007##2011-10-07
20111008##2011-10-08
20111009##2011-10-09
20111010##2011-10-10
20111011##2011-10-11
20111012##2011-10-12
20111013##2011-10-13
20111014##2011-10-14
20111015##2011-10-15
20111016##2011-10-16
20111017##2011-10-17
20111018##2011-10-18
20111019##2011-10-19
20111020##2011-10-20
20111021##2011-10-21
20111022##2011-10-22
20111023##2011-10-23
20111024##2011-10-24
20111025##2011-10-25
20111026##2011-10-26
20111027##2011-10-27
20111028##2011-10-28
20111029##2011-10-29
20111030##2011-10-30
20111031##2011-10-31
20111101##2011-11-01
20111102##2011-11-02
20111103##2011-11-03
20111104##2011-11-04
20111105##2011-11-05
20111106##2011-11-06
20111107##2011-11-07
20111108##2011-11-08
20111109##2011-11-09
20111110##2011-11-10
20111111##2011-11-11
20111112##2011-11-12
20111113##2011-11-13
20111114##2011-11-14
20111115##2011-11-15
20111116##2011-11-16
20111117##2011-11-17
20111118##2011-11-18
20111119##2011-11-19
20111120##2011-11-20
20111121##2011-11-21
20111122##2011-11-22
20111123##2011-11-23
20111124##2011-11-24
20111125##2011-11-25
20111126##2011-11-26
20111127##2011-11-27
20111128##2011-11-28
20111129##2011-11-29
20111130##2011-11-30
20111201##2011-12-01
20111202##2011-12-02
20111203##2011-12-03
20111204##2011-12-04
20111205##2011-12-05
20111206##2011-12-06
20111207##2011-12-07
20111208##2011-12-08
20111209##2011-12-09
20111210##2011-12-10
20111211##2011-12-11
20111212##2011-12-12
20111213##2011-12-13
20111214##2011-12-14
20111215##2011-12-15
20111216##2011-12-16
20111217##2011-12-17
20111218##2011-12-18
20111219##2011-12-19
20111220##2011-12-20
20111221##2011-12-21
20111222##2011-12-22
20111223##2011-12-23
20111224##2011-12-24
20111225##2011-12-25
20111226##2011-12-26
20111227##2011-12-27
20111228##2011-12-28
20111229##2011-12-29
20111230##2011-12-30
20120101##2012-01-01
20120103##2012-01-03
20120105##2012-01-05
20120106##2012-01-06
20120107##2012-01-07
20120108##2012-01-08
20120109##2012-01-09
20120110##2012-01-10
20120111##2012-01-11
20120112##2012-01-12
20120113##2012-01-13
20120114##2012-01-14
20120115##2012-01-15
20120116##2012-01-16
20120117##2012-01-17
20120118##2012-01-18
20120119##2012-01-19
20120120##2012-01-20
20120121##2012-01-21
20120122##2012-01-22
20120123##2012-01-23
20120124##2012-01-24
20120125##2012-01-25
20120126##2012-01-26
20120127##2012-01-27
20120128##2012-01-28
20120129##2012-01-29
20120130##2012-01-30
20120131##2012-01-31
20120201##2012-02-01
20120202##2012-02-02
20120203##2012-02-03
20120204##2012-02-04
20120205##2012-02-05
20120213##2012-02-13
20120214##2012-02-14
20120215##2012-02-15
20120222##2012-02-22
20120405##2012-04-05
20120406##2012-04-06
20120407##2012-04-07
20120418##2012-04-18
20120419##2012-04-19
20120420##2012-04-20
20120421##2012-04-21
20120422##2012-04-22
20120423##2012-04-23
20120424##2012-04-24
20120502##2012-05-02
20120503##2012-05-03
20120504##2012-05-04
20120505##2012-05-05
20120506##2012-05-06
20120507##2012-05-07
20120508##2012-05-08
20120509##2012-05-09
20120510##2012-05-10
20120511##2012-05-11
20120512##2012-05-12
20120513##2012-05-13
20120514##2012-05-14
20120515##2012-05-15
20120516##2012-05-16
20120517##2012-05-17
20120605##2012-06-05
20120606##2012-06-06
20120705##2012-07-05
20121001##2012-10-01
20121002##2012-10-02
20121003##2012-10-03
20121004##2012-10-04
20121005##2012-10-05
20121006##2012-10-06
20121007##2012-10-07
20121008##2012-10-08
20121009##2012-10-09
20121010##2012-10-10
20121011##2012-10-11
20121012##2012-10-12
20121013##2012-10-13
20121014##2012-10-14
20121015##2012-10-15
20121016##2012-10-16
20121017##2012-10-17
20121018##2012-10-18
20121019##2012-10-19
20121020##2012-10-20
20121021##2012-10-21
20121022##2012-10-22
20121023##2012-10-23
20121024##2012-10-24
20121025##2012-10-25
20121026##2012-10-26
20121027##2012-10-27
20121028##2012-10-28
20121029##2012-10-29
20121030##2012-10-30
20121031##2012-10-31
20121101##2012-11-01
20121102##2012-11-02
20121103##2012-11-03
20121104##2012-11-04
20121107##2012-11-07
20121108##2012-11-08
20121115##2012-11-15
20121116##2012-11-16
20121118##2012-11-18
20121119##2012-11-19
20121120##2012-11-20
20121121##2012-11-21
20121122##2012-11-22
20121123##2012-11-23
20121124##2012-11-24
20121125##2012-11-25
20121126##2012-11-26
20121127##2012-11-27
20121128##2012-11-28
20121129##2012-11-29
20121130##2012-11-30
20121201##2012-12-01
20121202##2012-12-02
20121203##2012-12-03
20121204##2012-12-04
20121205##2012-12-05
20121206##2012-12-06
20121207##2012-12-07
20121208##2012-12-08
20121209##2012-12-09
20121210##2012-12-10
20121211##2012-12-11
20121212##2012-12-12
20121213##2012-12-13
20121214##2012-12-14
20121215##2012-12-15
20121216##2012-12-16
20121217##2012-12-17
20121218##2012-12-18
20121219##2012-12-19
20121220##2012-12-20
20121221##2012-12-21
20121222##2012-12-22
20121223##2012-12-23
20121224##2012-12-24
20121225##2012-12-25
20121226##2012-12-26
20121227##2012-12-27
20121228##2012-12-28
20121229##2012-12-29
20121230##2012-12-30
20121231##2012-12-31
20130101##2013-01-01
20130102##2013-01-02
20130103##2013-01-03
20130104##2013-01-04
20130105##2013-01-05
20130108##2013-01-08
20130110##2013-01-10
20130111##2013-01-11
20130112##2013-01-12
20130113##2013-01-13
20130114##2013-01-14
20130115##2013-01-15
20130116##2013-01-16
20130117##2013-01-17
20130118##2013-01-18
20130119##2013-01-19
20130120##2013-01-20
20130121##2013-01-21
20130203##2013-02-03
20130205##2013-02-05
20130219##2013-02-19
20130220##2013-02-20
20130221##2013-02-21
20130222##2013-02-22
20130223##2013-02-23
20130224##2013-02-24
20130226##2013-02-26
20130228##2013-02-28
20130301##2013-03-01
20130302##2013-03-02
20130303##2013-03-03
20130304##2013-03-04
20130305##2013-03-05
20130306##2013-03-06
20130307##2013-03-07
20130308##2013-03-08
20130309##2013-03-09
20130310##2013-03-10
20130311##2013-03-11
20130312##2013-03-12
20130313##2013-03-13
20130315##2013-03-15
20130316##2013-03-16
20130318##2013-03-18
20130319##2013-03-19
20130320##2013-03-20
20130323##2013-03-23
20130324##2013-03-24
20130325##2013-03-25
20130326##2013-03-26
20130329##2013-03-29
20130331##2013-03-31
20130403##2013-04-03
20131118##2013-11-18
20131119##2013-11-19
20131120##2013-11-20
20131121##2013-11-21
20131122##2013-11-22
20131123##2013-11-23
20131124##2013-11-24
20131125##2013-11-25
20131126##2013-11-26
20131127##2013-11-27
20131128##2013-11-28
20131129##2013-11-29
20131130##2013-11-30
20131201##2013-12-01
20131202##2013-12-02
20131203##2013-12-03
20131204##2013-12-04
20131205##2013-12-05
20131206##2013-12-06
20131207##2013-12-07
20131224##2013-12-24
20131225##2013-12-25
20131226##2013-12-26
20131227##2013-12-27
20131228##2013-12-28
20131229##2013-12-29
20140119##2014-01-19
20140120##2014-01-20
20140121##2014-01-21
20140122##2014-01-22
20140123##2014-01-23
20140124##2014-01-24
20140125##2014-01-25
20140126##2014-01-26
20140127##2014-01-27
20140128##2014-01-28
20140129##2014-01-29
20140130##2014-01-30
20140201##2014-02-01
20140202##2014-02-02
20140203##2014-02-03
20140204##2014-02-04
20140205##2014-02-05
20140206##2014-02-06
20140207##2014-02-07
20140208##2014-02-08
20140209##2014-02-09
20140210##2014-02-10
20140211##2014-02-11
20140212##2014-02-12
20140213##2014-02-13
20140214##2014-02-14
20140215##2014-02-15
20140216##2014-02-16
20140217##2014-02-17
20140218##2014-02-18
20140219##2014-02-19
20140324##2014-03-24
20140325##2014-03-25
20140326##2014-03-26
20140327##2014-03-27
20140328##2014-03-28
20140329##2014-03-29
20140330##2014-03-30
20140331##2014-03-31
20140401##2014-04-01
20140402##2014-04-02
20140403##2014-04-03
20140404##2014-04-04
20140405##2014-04-05
20140406##2014-04-06
20140407##2014-04-07
20140408##2014-04-08
20140409##2014-04-09
20140410##2014-04-10
20140411##2014-04-11
20140412##2014-04-12
20140413##2014-04-13
20140414##2014-04-14
20140415##2014-04-15
20140416##2014-04-16
20140417##2014-04-17
-1##Don´t know
-2##No answer
-4##Not available
"
V262,Survey year,,"2010##2010
2011##2011
2012##2012
2013##2013
2014##2014
"
